Target Name	Accession	Description	Occurrences
Rham_dhyd_Thplmales	NF041159.1	NCBIFAM: L-rhamnose 1-dehydrogenase	82
PRK08220.1	NF006074.0	NCBI Protein Cluster (PRK): 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	87
23BDH	TIGR02415.1	JCVI: acetoin reductase	85
PRK05653.1-5	NF004200.0	NCBI Protein Cluster (PRK): 3-oxoacyl-ACP reductase FabG	87
PRK06125.1	NF004779.0	NCBI Protein Cluster (PRK): short-chain dehydrogenase/reductase	86
benzo_BadH	TIGR03206.1	JCVI: 2-hydroxycyclohexanecarboxyl-CoA dehydrogenase	84
PRK08936.1	NF006493.1	NCBI Protein Cluster (PRK): glucose-1-dehydrogenase	81
PRK12744.1	NF009385.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	75
PRK08261.1	NF006110.0	NCBI Protein Cluster (PRK): 3-oxoacyl-ACP reductase	83
PRK08063.1	NF005975.0	NCBI Protein Cluster (PRK): enoyl-[acyl-carrier-protein] reductase FabL	81
PRK07792.1	NF005862.0	NCBI Protein Cluster (PRK): 3-oxoacyl-ACP reductase	78
PRK07806.1	NF005868.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	77
PRK06198.1	NF004847.0	NCBI Protein Cluster (PRK): oxidoreductase	85
mycolic_FabG1	NF040605.2	NCBIFAM: 3-oxoacyl-ACP reductase FabG1	83
PRK06500.1	NF005075.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	86
PRK06179.1	NF004823.0	NCBI Protein Cluster (PRK): oxidoreductase	82
PRK09242.1	NF006693.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	84
PRK05653.2-4	NF004203.0	NCBI Protein Cluster (PRK): 3-oxoacyl-ACP reductase FabG	87
dhbA_paeA	TIGR04316.1	JCVI: 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	87
PRK06196.1	NF004845.0	NCBI Protein Cluster (PRK): oxidoreductase	82
AcAcCoAred_PhaB	NF042966.1	NCBIFAM: acetoacetyl-CoA reductase PhaB	82
PRK08324.1-3	NF006189.0	NCBI Protein Cluster (PRK): short-chain dehydrogenase	82
PRK08324.2-3	NF006195.0	NCBI Protein Cluster (PRK): short-chain dehydrogenase	80
PRK09134.1	NF006597.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	81
PRK07791.1	NF005861.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	76
SDR_dihy_bifunc	NF012208.0	NCBIFAM: bifunctional dihydropteridine reductase/dihydrofolate reductase TmpR	81
PRK08264.1-4	NF006118.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	82
PRK06953.1	NF005403.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	83
PRK07041.1	NF005449.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	87
pter_reduc_Leis	TIGR02685.1	JCVI: pteridine reductase	85
PRK12826.1-5	NF009469.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	81
PRK06947.1	NF005400.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	79
PRK09072.1	NF006565.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	90
PRK08993.1	NF006528.0	NCBI Protein Cluster (PRK): 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase KduD	78
PRK08263.1	NF006114.0	NCBI Protein Cluster (PRK): short chain dehydrogenase	80
PRK05875.1	NF004528.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	85
PRK12826.1-3	NF009467.0	NCBI Protein Cluster (PRK): SDR family mycofactocin-dependent oxidoreductase	85
PRK05854.1	NF004513.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	74
PRK09291.1	NF006776.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	81
PRK08642.1	NF006393.0	NCBI Protein Cluster (PRK): 3-oxoacyl-ACP reductase	81
PRK08264.1-6	NF006120.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	82
PRK07060.1-5	NF005467.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	86
PRK06182.1	NF004826.0	NCBI Protein Cluster (PRK): oxidoreductase	82
PRK07576.1	NF005752.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	84
RhaD_aldol-ADH	TIGR02632.1	JCVI: short chain dehydrogenase	80
PRK05650.1	NF004196.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	84
PRK07024.1	NF005437.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	83
PRK07102.1	NF005489.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	81
PRK07060.1-1	NF005464.0	NCBI Protein Cluster (PRK): short chain dehydrogenase	80
PRK05693.1	NF004284.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	80
PRK07677.1	NF005811.0	NCBI Protein Cluster (PRK): 2,4-dienoyl-CoA reductase	83
fabG_rel	TIGR01831.1	JCVI: 3-ketoacyl-ACP reductase FabG2	82
PRK12748.1	NF009389.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	81
PRK08945.1	NF006509.0	NCBI Protein Cluster (PRK): YciK family oxidoreductase	81
PRK08628.1	NF006384.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	83
PRK12384.1	NF009050.0	NCBI Protein Cluster (PRK): sorbitol-6-phosphate dehydrogenase	82
PRK07832.1	NF005881.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	80
PRK07831.1	NF005880.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	81
PRK07023.1	NF005436.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	79
PRK05786.1	NF004453.0	NCBI Protein Cluster (PRK): 3-ketoacyl-(acyl-carrier-protein) reductase	82
PRK06057.1	NF004713.0	NCBI Protein Cluster (PRK): 3-oxoacyl-ACP reductase	82
PRK06123.1	NF004777.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	81
SDR_TniO_fam	NF038213.1	NCBIFAM: SDR family oxidoreductase	83
PRK07062.1	NF005468.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	83
PRK06720.1	NF005224.0	NCBI Protein Cluster (PRK): hypothetical protein	55
PRK06194.1	NF004843.0	NCBI Protein Cluster (PRK): hypothetical protein	81
PRK08703.1	NF006431.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	77
PRK12938.1	NF009548.0	NCBI Protein Cluster (PRK): 3-ketoacyl-ACP reductase	79
PRK06200.1	NF004849.1	NCBI Protein Cluster (PRK): 3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase	84
PRK08324.1-4	NF006190.0	NCBI Protein Cluster (PRK): short-chain dehydrogenase	83
HdxpentlteDhPtlF	NF045814.1	NCBIFAM: 1-deoxy-11-beta-hydroxypentalenate dehydrogenase	79
PRK08219.1	NF006073.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	86
PRK05717.1	NF004324.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	82
PRK06398.1	NF005007.0	NCBI Protein Cluster (PRK): aldose dehydrogenase	85
PRK07060.1-2	NF005465.0	NCBI Protein Cluster (PRK): short chain dehydrogenase	80
PRK06463.1	NF005056.0	NCBI Protein Cluster (PRK): 3-ketoacyl-(acyl-carrier-protein) reductase	84
PRK07060.1-3	NF005466.0	NCBI Protein Cluster (PRK): short chain dehydrogenase	81
PRK06197.1	NF004846.0	NCBI Protein Cluster (PRK): oxidoreductase	76
BphB_TodD	TIGR03325.1	JCVI: cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase	77
PRK08324.2-1	NF006193.0	NCBI Protein Cluster (PRK): short-chain dehydrogenase	71
PRK06139.1	NF004792.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	78
PRK08324.1-1	NF006188.0	NCBI Protein Cluster (PRK): short-chain dehydrogenase	80
PRK08324.1-5	NF006191.0	NCBI Protein Cluster (PRK): short-chain dehydrogenase	79
PRK08251.1	NF006099.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	79
PRK08324.2-4	NF006196.0	NCBI Protein Cluster (PRK): short-chain dehydrogenase	81
PRK09186.1	NF006619.0	NCBI Protein Cluster (PRK): oxidoreductase	86
PRK07533.1	NF005717.0	NCBI Protein Cluster (PRK): enoyl-ACP reductase FabI	67
PRK07069.1	NF005473.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	82
PRK06701.1	NF005214.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	79
PRK08324.1-6	NF006192.0	NCBI Protein Cluster (PRK): short-chain dehydrogenase	81
PRK12742.1	NF009383.0	NCBI Protein Cluster (PRK): SDR family oxidoreductase	84
PRK11339.1	NF008459.0	NCBI Protein Cluster (PRK): p-aminobenzoyl-glutamate transporter	2
ydaH	TIGR00819.1	JCVI: AbgT family antimetabolite efflux transporter	2
PRK02436.1	NF002685.0	NCBI Protein Cluster (PRK): site-specific tyrosine recombinase XerD	27
PRK09434.1	NF006957.0	NCBI Protein Cluster (PRK): aminoimidazole riboside kinase	305
oxido_grp_1	TIGR03558.1	JCVI: MsnO8 family LLM class oxidoreductase	4
PRK10508.1	NF007802.0	NCBI Protein Cluster (PRK): luciferase-like monooxygenase	3
LLM_KPN_01858	TIGR04027.1	JCVI: putative FMN-dependent luciferase-like monooxygenase	5
F420_Rv2161c	TIGR03619.1	JCVI: TIGR03619 family F420-dependent LLM class oxidoreductase	10
LLM_CE1758_fam	TIGR04036.1	JCVI: CE1758 family FMN-dependent luciferase-like monooxygenase	5
seco_metab_LLM	TIGR04020.1	JCVI: MupA/Atu3671 family FMN-dependent luciferase-like monooxygenase domain	6
LLM_2I7G	TIGR03858.1	JCVI: Atu2307/SP_0267 family LLM class monooxygenase	6
PRK02271.1	NF002619.0	NCBI Protein Cluster (PRK): 5,10-methylenetetrahydromethanopterin reductase	6
lucif_BA3436	TIGR03571.1	JCVI: TIGR03571 family LLM class oxidoreductase	6
F420_MSMEG_2249	TIGR03857.1	JCVI: TIGR03857 family LLM class F420-dependent oxidoreductase	8
F420_Rv3520c	TIGR03559.1	JCVI: LLM class F420-dependent oxidoreductase	6
F420_mer	TIGR03555.1	JCVI: 5,10-methylenetetrahydromethanopterin reductase	5
ArgArg_F420	TIGR04465.1	JCVI: F420-dependent hydroxymycolic acid dehydrogenase	5
F420_Rv1855c	TIGR03560.1	JCVI: TIGR03560 family F420-dependent LLM class oxidoreductase	8
F420_Rv3093c	TIGR03841.1	JCVI: LLM class F420-dependent oxidoreductase	6
F420_NP1902A	TIGR04024.1	JCVI: TIGR04024 family LLM class F420-dependent oxidoreductase	5
F420_MSMEG_2516	TIGR03621.1	JCVI: TIGR03621 family F420-dependent LLM class oxidoreductase	6
F420_MSMEG_4879	TIGR03564.1	JCVI: TIGR03564 family F420-dependent LLM class oxidoreductase	4
F420_MSMEG_4141	TIGR03620.1	JCVI: TIGR03620 family F420-dependent LLM class oxidoreductase	4
F420_MSMEG_3544	TIGR03854.1	JCVI: TIGR03854 family LLM class F420-dependent oxidoreductase	7
F420_CPS_4043	TIGR03842.1	JCVI: TIGR03842 family LLM class F420-dependent oxidoreductase	4
flavin_revert	TIGR03885.1	JCVI: TIGR03885 family FMN-dependent LLM class oxidoreductase	4
F420_G6P_DH	TIGR03554.1	JCVI: glucose-6-phosphate dehydrogenase (coenzyme-F420)	4
F420_G6P_family	TIGR03557.1	JCVI: TIGR03557 family F420-dependent LLM class oxidoreductase	5
PRK13374.1	NF009914.0	NCBI Protein Cluster (PRK): DeoD-type purine-nucleoside phosphorylase	5
PRK05819.1	NF004489.0	NCBI Protein Cluster (PRK): DeoD-type purine-nucleoside phosphorylase	7
deoD	TIGR00107.1	JCVI: purine-nucleoside phosphorylase	4
Uridine-psphlse	TIGR01718.1	JCVI: uridine phosphorylase	3
PRK11178.1	NF008383.0	NCBI Protein Cluster (PRK): uridine phosphorylase	3
PRK05584.1	NF004079.0	NCBI Protein Cluster (PRK): 5'-methylthioadenosine/adenosylhomocysteine nucleosidase	5
PRK07115.1	NF005500.0	NCBI Protein Cluster (PRK): AMP nucleosidase	3
PRK14697.1	NF011286.0	NCBI Protein Cluster (PRK): bifunctional 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase/phosphatase	4
MTA_SAH-Nsdase	TIGR01704.1	JCVI: 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	5
AMN-like	TIGR01721.1	JCVI: AMP nucleosidase	3
fut_nucase	TIGR03664.1	JCVI: futalosine hydrolase	5
PRK06698.1	NF005213.0	NCBI Protein Cluster (PRK): bifunctional 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase/phosphatase	4
D_ribokin_bact	TIGR02152.1	JCVI: ribokinase	263
rfaE_dom_I	TIGR02198.1	JCVI: D-glycero-beta-D-manno-heptose-7-phosphate kinase	239
R1P_kin_Thcocales	NF041134.1	NCBIFAM: ADP-dependent ribose-1-phosphate kinase	187
myo_inos_iolC_N	TIGR04382.1	JCVI: 5-dehydro-2-deoxygluconokinase	275
PRK04195.2-3	NF003233.0	NCBI Protein Cluster (PRK): replication factor C large subunit	15
PRK04195.1-6	NF003230.0	NCBI Protein Cluster (PRK): replication factor C large subunit	21
FAD_mono_MbnF	NF045577.1	NCBIFAM: methanobactin biosynthesis FAD monooxygenase MbnF	18
PRK04195.1-1	NF003226.0	NCBI Protein Cluster (PRK): replication factor C large subunit	20
spore_V_K	TIGR02881.1	JCVI: stage V sporulation protein K	14
PRK04195.2-2	NF003232.0	NCBI Protein Cluster (PRK): replication factor C large subunit	4
dnaX_nterm	TIGR02397.1	JCVI: DNA polymerase III subunit gamma/tau	12
PRK04195.2-1	NF003231.0	NCBI Protein Cluster (PRK): replication factor C large subunit	8
PRK14948.1	NF011510.0	NCBI Protein Cluster (PRK): DNA polymerase III subunit gamma/tau	8
PRK12402.1	NF009067.0	NCBI Protein Cluster (PRK): replication factor C small subunit 2	15
PRK11773.1	NF008743.0	NCBI Protein Cluster (PRK): DNA helicase II	223
uvrD	TIGR01075.1	JCVI: DNA helicase UvrD	202
PRK11054.1	NF008276.0	NCBI Protein Cluster (PRK): DNA helicase IV	190
pcrA	TIGR01073.1	JCVI: DNA helicase PcrA	238
recB	TIGR00609.1	JCVI: exodeoxyribonuclease V subunit beta	221
rep	TIGR01074.1	JCVI: DNA helicase Rep	223
addA_Gpos	TIGR02785.1	JCVI: helicase-exonuclease AddAB subunit AddA	191
HelD_BACSU	NF041464.1	NCBIFAM: RNA polymerase recycling motor HelD (Bacillota-type)	85
PRK10919.1	NF008172.0	NCBI Protein Cluster (PRK): DNA helicase Rep	176
PRK10876.1	NF008128.0	NCBI Protein Cluster (PRK): exodeoxyribonuclease V subunit beta	104
PRK05658.1	NF004208.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor RpoD	19
PRK09210.1	NF006666.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor RpoD	29
MzaA	NF041931.2	NCBIFAM: MZA anti-phage system associated sigma-70 family RNA polymerase sigma factor MzaA	25
PRK05901.1-4	NF004562.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	26
PRK05901.1-3	NF004561.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	28
RpoD_Cterm	TIGR02393.1	JCVI: RNA polymerase sigma factor RpoD	21
PRK05901.1-1	NF004560.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	26
PRK07406.1	NF005643.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor RpoD	29
PRK07921.1	NF005920.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor SigB	27
Sig70-cyanoRpoD	TIGR02997.1	JCVI: RNA polymerase sigma factor, RpoD/SigA family	31
PRK05901.2-3	NF004565.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	28
PRK07598.1	NF005785.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor SigC	28
PRK05901.2-2	NF004564.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	17
rpoS_proteo	TIGR02394.1	JCVI: RNA polymerase sigma factor RpoS	28
PRK05901.2-4	NF004566.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	18
PRK05949.1	NF004615.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	26
PRK05657.1	NF004207.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor RpoS	29
PRK07405.1	NF005642.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor SigD	29
PRK05901.2-1	NF004563.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor	16
sigma70-ECF	TIGR02937.1	JCVI: sigma-70 family RNA polymerase sigma factor	118
SigBFG	TIGR02980.1	JCVI: SigB/SigF/SigG family RNA polymerase sigma factor	32
PRK06596.1	NF005143.0	NCBI Protein Cluster (PRK): RNA polymerase factor sigma-32	17
rpoH_proteo	TIGR02392.1	JCVI: RNA polymerase sigma factor RpoH	18
PRK08215.1	NF006071.0	NCBI Protein Cluster (PRK): RNA polymerase sporulation sigma factor SigG	18
PRK07500.1	NF005693.0	NCBI Protein Cluster (PRK): RNA polymerase factor sigma-32	17
spore_sigG	TIGR02850.1	JCVI: RNA polymerase sporulation sigma factor SigG	18
spore_sigF	TIGR02885.1	JCVI: RNA polymerase sporulation sigma factor SigF	21
PRK05572.1	NF004052.0	NCBI Protein Cluster (PRK): RNA polymerase sporulation sigma factor, SigF/SigG family	23
FliA_WhiG	TIGR02479.1	JCVI: FliA/WhiG family RNA polymerase sigma factor	28
PRK05803.1	NF004471.0	NCBI Protein Cluster (PRK): RNA polymerase sporulation sigma factor SigK	35
PRK07122.1	NF005514.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor SigF	25
PRK07408.1	NF005644.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor SigF	23
spore_sigmaK	TIGR02846.1	JCVI: RNA polymerase sporulation sigma factor SigK	34
PRK06288.1	NF004935.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor WhiG	23
PRK06986.1	NF005413.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor FliA	20
PRK07670.1	NF005809.0	NCBI Protein Cluster (PRK): FliA/WhiG family RNA polymerase sigma factor	19
PRK08301.1	NF006158.0	NCBI Protein Cluster (PRK): RNA polymerase sporulation sigma factor SigE	30
spore_sigmaE	TIGR02835.1	JCVI: RNA polymerase sporulation sigma factor SigE	30
Sigma_B	TIGR02941.1	JCVI: RNA polymerase sigma factor SigB	19
PRK05911.1	NF004572.0	NCBI Protein Cluster (PRK): RNA polymerase sigma factor sigma-28	19
PRK12427.1	NF009091.0	NCBI Protein Cluster (PRK): FliA/WhiG family RNA polymerase sigma factor	12
PRK08295.1-4	NF006147.0	NCBI Protein Cluster (PRK): RNA polymerase factor sigma-70	17
PRK06759.1	NF005248.0	NCBI Protein Cluster (PRK): RNA polymerase factor sigma-70	30
PRK08295.1-2	NF006145.0	NCBI Protein Cluster (PRK): RNA polymerase sporulation sigma factor SigH	15
spore_sigH	TIGR02859.1	JCVI: RNA polymerase sporulation sigma factor SigH	16
PRK08295.1-5	NF006148.0	NCBI Protein Cluster (PRK): RNA polymerase sporulation sigma factor SigH	14
Sig70_famx2	TIGR02952.1	JCVI: ECF subfamily RNA polymerase sigma factor, BldN family	37
PRK13231.1	NF009702.0	NCBI Protein Cluster (PRK): nitrogenase reductase-like protein	6
ArsA_halo	NF041417.1	NCBIFAM: arsenical pump-driving ATPase, halobacterial type	7
TF_PrdR	NF041552.1	NCBIFAM: sigma-54 dependent transcriptional regulator PrdR	40
IMP_dehydrog	TIGR01302.1	JCVI: IMP dehydrogenase	24
kpsF	TIGR00393.1	JCVI: KpsF/GutQ family sugar-phosphate isomerase	20
A-tRNAntase	NF041569.1	NCBIFAM: A-adding tRNA nucleotidyltransferase	9
cysta_beta	TIGR01137.1	JCVI: cystathionine beta-synthase	21
TF_CBS_SpxR	NF038279.1	NCBIFAM: CBS-HotDog domain-containing transcription factor SpxR	15
PRK07107.1	NF005493.0	NCBI Protein Cluster (PRK): IMP dehydrogenase	11
IMP_DH_rel_1	TIGR01303.1	JCVI: GuaB1 family IMP dehydrogenase-related protein	13
CBS_CbpB	NF041630.1	NCBIFAM: cyclic-di-AMP-binding protein CbpB	12
PRK10892.1	NF008141.0	NCBI Protein Cluster (PRK): arabinose-5-phosphate isomerase KdsD	14
proV	TIGR01186.1	JCVI: betaine/proline/choline family ABC transporter ATP-binding protein	183
PRK13027.1	NF009587.0	NCBI Protein Cluster (PRK): C4-dicarboxylate transporter DctA	6
PRK01663.1	NF002461.0	NCBI Protein Cluster (PRK): C4-dicarboxylate transporter DctA	6
PRK11283.1	NF008440.0	NCBI Protein Cluster (PRK): glutamate/aspartate:proton symporter GltP	6
PRK13628.1	NF010151.0	NCBI Protein Cluster (PRK): serine/threonine transporter SstT	6
Avs3a	NF041816.1	NCBIFAM: AVAST type 3 anti-phage nuclease/ATPase Avs3a	6
dhaK1	TIGR02363.1	JCVI: dihydroxyacetone kinase subunit DhaK	1
PRK14479.1	NF011049.0	NCBI Protein Cluster (PRK): dihydroxyacetone kinase family protein	2
dak_ATP	TIGR02361.1	JCVI: glycerone kinase	2
dhaK1b	TIGR02362.1	JCVI: DhaKLM operon coactivator DhaQ	2
abortive_AbiA	TIGR04499.1	JCVI: AbiA family abortive infection protein	43
antiphage_MADS2	NF047738.1	NCBIFAM: methylation-associated defense system DNA methyltransferase MAD2	401
BREX_1_MTaseX	NF033452.1	NCBIFAM: BREX-1 system adenine-specific DNA-methyltransferase PglX	218
met_A_Alw26	TIGR02987.1	JCVI: Alw26I/Eco31I/Esp3I family type II restriction adenine-specific DNA-methyltransferase	312
L3_gln_methyl	TIGR03533.1	JCVI: 50S ribosomal protein L3 N(5)-glutamine methyltransferase	159
BREX_6_MTaseX	NF033455.1	NCBIFAM: BREX-6 system adenine-specific DNA-methyltransferase PglX	85
TIGR02450	TIGR02450.1	JCVI: TIGR02450 family Trp-rich protein	1
TIGR00045	TIGR00045.1	JCVI: glycerate kinase	2
PRK09932.1	NF007401.0	NCBI Protein Cluster (PRK): glycerate 3-kinase	2
PRK10342.1	NF007668.0	NCBI Protein Cluster (PRK): glycerate 2-kinase	2
PRK03732.1	NF002989.0	NCBI Protein Cluster (PRK): hypothetical protein	5
PRK02877.1	NF002776.0	NCBI Protein Cluster (PRK): hypothetical protein	5
PRK01119.1	NF002224.0	NCBI Protein Cluster (PRK): putative heavy metal-binding protein	5
PRK12856.1	NF009496.0	NCBI Protein Cluster (PRK): hypothetical protein	5
PRK12855.1	NF009495.0	NCBI Protein Cluster (PRK): hypothetical protein	4
unchar_dom_1	TIGR00369.1	JCVI: hotdog fold thioesterase	11
PaaD	TIGR02286.1	JCVI: hydroxyphenylacetyl-CoA thioesterase PaaI	7
PRK11688.1	NF008675.0	NCBI Protein Cluster (PRK): thioesterase family protein	9
MenI_Listeria	NF047425.1	NCBIFAM: 1,4-dihydroxy-2-naphthoyl-CoA hydrolase MenI, Listeria type	7
PRK10293.1	NF007631.0	NCBI Protein Cluster (PRK): 1,4-dihydroxy-2-naphthoyl-CoA hydrolase	5
PRK08190.1	NF006045.0	NCBI Protein Cluster (PRK): bifunctional enoyl-CoA hydratase/phosphate acetyltransferase	8
PRK00601.1	NF001862.0	NCBI Protein Cluster (PRK): dUTP diphosphatase	20
dut	TIGR00576.1	JCVI: dUTP diphosphatase	22
PRK13956.1	NF010561.0	NCBI Protein Cluster (PRK): dUTP diphosphatase	19
dCTP_deam	TIGR02274.1	JCVI: dCTP deaminase	23
PRK10151.1	NF007539.0	NCBI Protein Cluster (PRK): 50S ribosomal protein L7/L12-serine acetyltransferase	11
PseH	TIGR03585.1	JCVI: UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase	22
ileS_w_GNAT	NF040702.1	NCBIFAM: isoleucine--tRNA ligase, N-acetyltransferase domain-containing	45
PRK10140.1	NF007527.0	NCBI Protein Cluster (PRK): N-acetyltransferase	13
resist_ArsN1a	NF040503.1	NCBIFAM: arsinothricin resistance N-acetyltransferase ArsN1 family A	37
