Most Frequent Protein ID	Frequency	Description
WP_076611894.1	2	IS5-like element ISAba27 family transposase
WP_071171977.1	2	MafI family immunity protein
WP_183895383.1	2	AGE family epimerase/isomerase
WP_234900309.1	2	dual specificity protein phosphatase family protein
WP_085940413.1	2	IS4-like element ISAba1 family transposase
Unknown	2	7-cyano-7-deazaguanine reductase
WP_336742954.1	2	hypothetical protein
WP_336742950.1	2	hypothetical protein
WP_336742946.1	2	hypothetical protein
WP_336742942.1	2	hypothetical protein
WP_336742938.1	2	hypothetical protein
WP_111221296.1	2	hypothetical protein
WP_133255627.1	2	hypothetical protein
WP_111221300.1	2	hypothetical protein
WP_111435140.1	2	hypothetical protein
WP_146610187.1	2	hypothetical protein
WP_111435136.1	2	hypothetical protein
WP_111435134.1	2	hypothetical protein
WP_146610186.1	2	hypothetical protein
WP_006400880.1	2	hypothetical protein
WP_175750399.1	2	hypothetical protein
WP_186078026.1	2	hypothetical protein
WP_186164466.1	2	hypothetical protein
WP_186164468.1	2	hypothetical protein
WP_186164470.1	2	hypothetical protein
WP_186164472.1	2	hypothetical protein
WP_396587727.1	2	hypothetical protein
WP_396587728.1	2	hypothetical protein
WP_396587729.1	2	hypothetical protein
WP_396587731.1	2	hypothetical protein
WP_396587732.1	2	hypothetical protein
WP_396587733.1	2	hypothetical protein
WP_396587735.1	2	hypothetical protein
WP_098714299.1	2	hypothetical protein
WP_098714301.1	2	hypothetical protein
WP_098714302.1	2	hypothetical protein
WP_169482644.1	2	hypothetical protein
WP_153423780.1	2	hypothetical protein
WP_145162699.1	2	hypothetical protein
WP_145162702.1	2	hypothetical protein
WP_018678744.1	2	hypothetical protein
WP_214589448.1	2	hypothetical protein
WP_214589446.1	2	hypothetical protein
WP_214589444.1	2	hypothetical protein
WP_214589443.1	2	hypothetical protein
WP_250902210.1	2	hypothetical protein
WP_193537595.1	2	hypothetical protein
WP_193537593.1	2	hypothetical protein
WP_193537589.1	2	hypothetical protein
WP_193537587.1	2	hypothetical protein
WP_147326821.1	2	hypothetical protein
WP_031983188.1	2	hypothetical protein
WP_157892711.1	2	hypothetical protein
WP_077410554.1	2	hypothetical protein
WP_077410558.1	2	hypothetical protein
WP_158611324.1	2	hypothetical protein
WP_123891458.1	2	hypothetical protein
WP_295423531.1	2	hypothetical protein
WP_295423533.1	2	hypothetical protein
WP_295423537.1	2	hypothetical protein
WP_147483681.1	2	hypothetical protein
WP_147483682.1	2	hypothetical protein
WP_060330734.1	2	hypothetical protein
WP_081083937.1	2	hypothetical protein
WP_230962730.1	2	hypothetical protein
WP_115227940.1	2	hypothetical protein
WP_039577918.1	2	hypothetical protein
WP_336290707.1	2	hypothetical protein
WP_336290708.1	2	hypothetical protein
WP_336290712.1	2	hypothetical protein
WP_336290713.1	2	hypothetical protein
WP_049106707.1	2	hypothetical protein
WP_088065460.1	2	hypothetical protein
WP_088065462.1	2	hypothetical protein
WP_088065463.1	2	hypothetical protein
WP_130136367.1	2	hypothetical protein
WP_003180273.1	2	hypothetical protein
WP_033045969.1	2	hypothetical protein
WP_003180290.1	2	hypothetical protein
WP_355373369.1	2	hypothetical protein
WP_355373384.1	2	hypothetical protein
WP_355373387.1	2	hypothetical protein
WP_355373390.1	2	hypothetical protein
WP_200758659.1	2	hypothetical protein
WP_147436284.1	2	hypothetical protein
WP_147436283.1	2	hypothetical protein
WP_147436282.1	2	hypothetical protein
WP_121673631.1	2	hypothetical protein
WP_147436281.1	2	hypothetical protein
WP_389463312.1	2	hypothetical protein
WP_234022014.1	2	hypothetical protein
WP_019985949.1	2	hypothetical protein
WP_158694071.1	2	hypothetical protein
WP_019985952.1	2	hypothetical protein
WP_019985953.1	2	hypothetical protein
WP_408346497.1	2	hypothetical protein
WP_408346502.1	2	hypothetical protein
WP_053858354.1	2	hypothetical protein
WP_144028198.1	2	hypothetical protein
WP_352483754.1	2	hypothetical protein
WP_156420506.1	2	hypothetical protein
WP_156420507.1	2	hypothetical protein
WP_058807774.1	2	hypothetical protein
WP_058807777.1	2	hypothetical protein
WP_156420509.1	2	hypothetical protein
WP_282390686.1	2	hypothetical protein
WP_282390687.1	2	hypothetical protein
WP_248916470.1	2	hypothetical protein
WP_282390690.1	2	hypothetical protein
WP_016771173.1	2	hypothetical protein
WP_059002899.1	2	hypothetical protein
WP_026802537.1	2	hypothetical protein
WP_022969516.1	2	hypothetical protein
WP_022969517.1	2	hypothetical protein
WP_026802541.1	2	hypothetical protein
WP_065689003.1	2	hypothetical protein
WP_162733198.1	2	hypothetical protein
WP_155766423.1	2	hypothetical protein
WP_069077310.1	2	hypothetical protein
WP_069077313.1	2	hypothetical protein
WP_244525697.1	2	hypothetical protein
WP_137230139.1	2	hypothetical protein
WP_141606877.1	2	hypothetical protein
WP_172720910.1	2	hypothetical protein
WP_100013711.1	2	hypothetical protein
WP_100013710.1	2	hypothetical protein
WP_100013708.1	2	hypothetical protein
WP_100013707.1	2	hypothetical protein
WP_100013706.1	2	hypothetical protein
WP_236597648.1	2	hypothetical protein
WP_128598393.1	2	hypothetical protein
WP_128598392.1	2	hypothetical protein
WP_229606371.1	2	hypothetical protein
WP_229606372.1	2	hypothetical protein
WP_229606373.1	2	hypothetical protein
WP_229606374.1	2	hypothetical protein
WP_247369637.1	2	hypothetical protein
WP_059956686.1	2	hypothetical protein
WP_157649703.1	2	hypothetical protein
WP_157649706.1	2	hypothetical protein
WP_011883089.1	2	hypothetical protein
WP_131646260.1	2	hypothetical protein
WP_095793761.1	2	hypothetical protein
WP_095793759.1	2	hypothetical protein
WP_027604122.1	2	hypothetical protein
WP_027604120.1	2	hypothetical protein
WP_051429309.1	2	hypothetical protein
WP_027604116.1	2	hypothetical protein
WP_027604115.1	2	hypothetical protein
WP_256221104.1	2	hypothetical protein
WP_074448453.1	2	hypothetical protein
WP_141697759.1	2	hypothetical protein
WP_244621033.1	2	hypothetical protein
WP_074448459.1	2	hypothetical protein
WP_149323910.1	2	hypothetical protein
WP_187106040.1	2	hypothetical protein
WP_147373078.1	2	hypothetical protein
WP_140876621.1	2	hypothetical protein
WP_140876624.1	2	hypothetical protein
WP_140876626.1	2	hypothetical protein
WP_140876633.1	2	hypothetical protein
WP_215715873.1	2	hypothetical protein
WP_050001823.1	2	hypothetical protein
WP_009260064.1	2	hypothetical protein
WP_222011450.1	2	hypothetical protein
WP_180076719.1	2	hypothetical protein
WP_257227358.1	2	hypothetical protein
WP_144430823.1	2	hypothetical protein
WP_342590086.1	2	hypothetical protein
WP_151352311.1	2	hypothetical protein
WP_017270728.1	2	hypothetical protein
WP_151352312.1	2	hypothetical protein
WP_017270730.1	2	hypothetical protein
WP_227692142.1	2	hypothetical protein
WP_005026300.1	2	hypothetical protein
WP_187371250.1	2	hypothetical protein
WP_262359799.1	2	hypothetical protein
WP_174561796.1	2	hypothetical protein
WP_289171287.1	2	hypothetical protein
WP_047662028.1	2	hypothetical protein
WP_172488753.1	2	hypothetical protein
WP_420679838.1	2	hypothetical protein
WP_136071118.1	2	hypothetical protein
WP_223349232.1	2	hypothetical protein
WP_174561797.1	2	hypothetical protein
WP_028159551.1	2	hypothetical protein
WP_304492476.1	2	hypothetical protein
WP_304492477.1	2	hypothetical protein
WP_304492478.1	2	hypothetical protein
WP_304492479.1	2	hypothetical protein
WP_304492480.1	2	hypothetical protein
WP_062729624.1	2	hypothetical protein
WP_294799661.1	2	hypothetical protein
WP_294799667.1	2	hypothetical protein
WP_294799679.1	2	hypothetical protein
WP_382322387.1	2	hypothetical protein
WP_305614628.1	2	hypothetical protein
WP_096356353.1	2	hypothetical protein
WP_096356351.1	2	hypothetical protein
WP_096356349.1	2	hypothetical protein
WP_096356347.1	2	hypothetical protein
WP_096356345.1	2	hypothetical protein
WP_096356343.1	2	hypothetical protein
WP_363390930.1	2	hypothetical protein
WP_363390936.1	2	hypothetical protein
WP_363390938.1	2	hypothetical protein
WP_214590906.1	2	hypothetical protein
WP_101283310.1	2	hypothetical protein
WP_101283326.1	2	hypothetical protein
WP_155768273.1	2	hypothetical protein
WP_231130873.1	2	hypothetical protein
WP_081333392.1	2	hypothetical protein
WP_081333391.1	2	hypothetical protein
WP_155768271.1	2	hypothetical protein
WP_260797521.1	2	hypothetical protein
WP_183146725.1	2	hypothetical protein
WP_122391509.1	2	hypothetical protein
WP_147480378.1	2	hypothetical protein
WP_262267348.1	2	hypothetical protein
WP_262267345.1	2	hypothetical protein
WP_262267344.1	2	hypothetical protein
WP_262267343.1	2	hypothetical protein
WP_262267341.1	2	hypothetical protein
WP_157377904.1	2	hypothetical protein
WP_322540415.1	2	hypothetical protein
WP_066438548.1	2	hypothetical protein
WP_048025851.1	2	hypothetical protein
WP_053076317.1	2	hypothetical protein
WP_187503583.1	2	hypothetical protein
WP_187503585.1	2	hypothetical protein
WP_187503587.1	2	hypothetical protein
WP_187503588.1	2	hypothetical protein
WP_115780144.1	2	hypothetical protein
WP_130707740.1	2	hypothetical protein
WP_130707744.1	2	hypothetical protein
WP_130707745.1	2	hypothetical protein
WP_130707746.1	2	hypothetical protein
WP_222262576.1	2	hypothetical protein
WP_087697757.1	2	hypothetical protein
WP_139791231.1	2	hypothetical protein
WP_144018105.1	2	hypothetical protein
WP_087853987.1	2	hypothetical protein
WP_087853988.1	2	hypothetical protein
WP_087853990.1	2	hypothetical protein
WP_087853991.1	2	hypothetical protein
WP_185511221.1	2	hypothetical protein
WP_057424969.1	2	hypothetical protein
WP_221034062.1	2	hypothetical protein
WP_315621749.1	2	hypothetical protein
WP_315621748.1	2	hypothetical protein
WP_259087280.1	2	hypothetical protein
WP_259087275.1	2	hypothetical protein
WP_259087272.1	2	hypothetical protein
WP_259087271.1	2	hypothetical protein
WP_259087267.1	2	hypothetical protein
WP_259087266.1	2	hypothetical protein
WP_145824087.1	2	hypothetical protein
WP_145824085.1	2	hypothetical protein
WP_408205809.1	2	hypothetical protein
WP_352611456.1	2	hypothetical protein
WP_023831009.1	2	hypothetical protein
WP_031195071.1	2	hypothetical protein
WP_207609323.1	2	hypothetical protein
WP_207609331.1	2	hypothetical protein
WP_148826979.1	2	hypothetical protein
WP_148826980.1	2	hypothetical protein
WP_373079089.1	2	hypothetical protein
WP_001189303.1	2	hypothetical protein
WP_000719498.1	2	hypothetical protein
WP_154641249.1	2	hypothetical protein
WP_060263270.1	2	hypothetical protein
WP_124550274.1	2	hypothetical protein
WP_124550272.1	2	hypothetical protein
WP_260433035.1	2	hypothetical protein
WP_029874737.1	2	hypothetical protein
WP_029874738.1	2	hypothetical protein
WP_408170611.1	2	hypothetical protein
WP_149073804.1	2	hypothetical protein
WP_168199354.1	2	hypothetical protein
WP_149073806.1	2	hypothetical protein
WP_149073807.1	2	hypothetical protein
WP_149073808.1	2	hypothetical protein
WP_149073809.1	2	hypothetical protein
WP_149073810.1	2	hypothetical protein
WP_149073811.1	2	hypothetical protein
WP_149073812.1	2	hypothetical protein
WP_347547714.1	2	hypothetical protein
WP_347547715.1	2	hypothetical protein
WP_099368257.1	2	hypothetical protein
WP_056320574.1	2	hypothetical protein
WP_213911747.1	2	hypothetical protein
WP_272195264.1	2	hypothetical protein
WP_291463048.1	2	hypothetical protein
WP_372055771.1	2	hypothetical protein
WP_372098389.1	2	hypothetical protein
WP_372098390.1	2	hypothetical protein
WP_372098392.1	2	hypothetical protein
WP_152644241.1	2	hypothetical protein
WP_087881676.1	2	hypothetical protein
WP_083184254.1	2	hypothetical protein
WP_083184253.1	2	hypothetical protein
WP_395125325.1	2	hypothetical protein
WP_395125326.1	2	hypothetical protein
WP_395125327.1	2	hypothetical protein
WP_395125328.1	2	hypothetical protein
WP_395125330.1	2	hypothetical protein
WP_268301966.1	2	hypothetical protein
WP_094991487.1	2	hypothetical protein
WP_094991490.1	2	hypothetical protein
WP_153381688.1	2	hypothetical protein
WP_094991492.1	2	hypothetical protein
WP_143517959.1	2	hypothetical protein
WP_094991496.1	2	hypothetical protein
WP_094991503.1	2	hypothetical protein
WP_233933064.1	2	hypothetical protein
WP_316130443.1	2	hypothetical protein
WP_366933402.1	2	hypothetical protein
WP_292805400.1	2	hypothetical protein
WP_292805402.1	2	hypothetical protein
WP_292805405.1	2	hypothetical protein
WP_292805407.1	2	hypothetical protein
WP_292805410.1	2	hypothetical protein
WP_299165340.1	2	hypothetical protein
WP_299165337.1	2	hypothetical protein
WP_336570205.1	2	hypothetical protein
WP_336570206.1	2	hypothetical protein
WP_336570207.1	2	hypothetical protein
WP_258904385.1	2	hypothetical protein
WP_076531728.1	2	hypothetical protein
WP_076531736.1	2	hypothetical protein
WP_076531740.1	2	hypothetical protein
WP_076531744.1	2	hypothetical protein
WP_339165079.1	2	hypothetical protein
WP_278378341.1	2	hypothetical protein
WP_278378333.1	2	hypothetical protein
WP_278378332.1	2	hypothetical protein
WP_160946080.1	2	hypothetical protein
WP_160946079.1	2	hypothetical protein
WP_160946077.1	2	hypothetical protein
WP_160946076.1	2	hypothetical protein
WP_160946075.1	2	hypothetical protein
WP_064574290.1	2	hypothetical protein
WP_064574294.1	2	hypothetical protein
WP_156518176.1	2	hypothetical protein
WP_188138072.1	2	hypothetical protein
WP_302564664.1	2	hypothetical protein
WP_016566852.1	2	hypothetical protein
WP_046718761.1	2	hypothetical protein
WP_248671570.1	2	hypothetical protein
WP_248671572.1	2	hypothetical protein
WP_233564112.1	2	hypothetical protein
WP_275441551.1	2	hypothetical protein
WP_239209569.1	2	hypothetical protein
WP_264646078.1	2	hypothetical protein
WP_004242498.1	2	hypothetical protein
WP_279272195.1	2	hypothetical protein
WP_000611586.1	2	hypothetical protein
WP_042202824.1	2	hypothetical protein
WP_268600049.1	2	hypothetical protein
WP_157266587.1	2	hypothetical protein
WP_268593739.1	2	hypothetical protein
WP_313903351.1	2	hypothetical protein
WP_355796413.1	2	hypothetical protein
WP_153045551.1	2	hypothetical protein
WP_105120616.1	2	hypothetical protein
WP_105120618.1	2	hypothetical protein
WP_214187511.1	2	hypothetical protein
WP_214187513.1	2	hypothetical protein
WP_214187516.1	2	hypothetical protein
WP_214187517.1	2	hypothetical protein
WP_214187519.1	2	hypothetical protein
WP_290474916.1	2	hypothetical protein
WP_290474917.1	2	hypothetical protein
WP_144023149.1	2	hypothetical protein
WP_144023150.1	2	hypothetical protein
WP_089498263.1	2	hypothetical protein
WP_144023151.1	2	hypothetical protein
WP_144023152.1	2	hypothetical protein
WP_038443661.1	2	hypothetical protein
WP_235205525.1	2	hypothetical protein
WP_038443667.1	2	hypothetical protein
WP_038443670.1	2	hypothetical protein
WP_051903158.1	2	hypothetical protein
WP_194768701.1	2	hypothetical protein
WP_326350851.1	2	hypothetical protein
WP_326156966.1	2	hypothetical protein
WP_131728716.1	2	hypothetical protein
WP_204392369.1	2	hypothetical protein
WP_294589927.1	2	hypothetical protein
WP_174000213.1	2	hypothetical protein
WP_242895094.1	2	hypothetical protein
WP_013815599.1	2	hypothetical protein
WP_013815592.1	2	hypothetical protein
WP_168044555.1	2	hypothetical protein
WP_087422600.1	2	hypothetical protein
WP_087422601.1	2	hypothetical protein
WP_140402627.1	2	hypothetical protein
WP_034973594.1	2	hypothetical protein
WP_034973597.1	2	hypothetical protein
WP_034973598.1	2	hypothetical protein
WP_034973600.1	2	hypothetical protein
WP_131474276.1	2	hypothetical protein
WP_051879835.1	2	hypothetical protein
WP_104319433.1	2	hypothetical protein
WP_146086878.1	2	hypothetical protein
WP_146086880.1	2	hypothetical protein
WP_146086881.1	2	hypothetical protein
WP_146086882.1	2	hypothetical protein
WP_017182746.1	2	hypothetical protein
WP_160209860.1	2	hypothetical protein
WP_146042883.1	2	hypothetical protein
WP_323508352.1	2	hypothetical protein
WP_323508354.1	2	hypothetical protein
WP_019740373.1	2	hypothetical protein
WP_214544130.1	2	hypothetical protein
WP_214544133.1	2	hypothetical protein
WP_250896533.1	2	hypothetical protein
WP_214544136.1	2	hypothetical protein
WP_111110199.1	2	hypothetical protein
WP_272709883.1	2	hypothetical protein
WP_085570180.1	2	hypothetical protein
WP_111389516.1	2	hypothetical protein
WP_116035775.1	2	hypothetical protein
WP_116035780.1	2	hypothetical protein
WP_123902407.1	2	hypothetical protein
WP_116035783.1	2	hypothetical protein
WP_170887131.1	2	hypothetical protein
WP_170887132.1	2	hypothetical protein
WP_366360101.1	2	hypothetical protein
WP_366360105.1	2	hypothetical protein
WP_366360109.1	2	hypothetical protein
WP_047353071.1	2	hypothetical protein
WP_072059101.1	2	hypothetical protein
WP_009113454.1	2	hypothetical protein
WP_009113457.1	2	hypothetical protein
WP_040343282.1	2	hypothetical protein
WP_370203477.1	2	hypothetical protein
WP_370203478.1	2	hypothetical protein
WP_370203482.1	2	hypothetical protein
