Protein ID	Frequency	Description
WP_270465819.1	2	DNA repair protein RadA
WP_032834023.1	2	DNA integrity scanning diadenylate cyclase DisA
WP_270465817.1	2	hypothetical protein
WP_270465815.1	2	hypothetical protein
WP_270465813.1	2	retron St85 family RNA-directed DNA polymerase
WP_270465811.1	2	MATE family efflux transporter
WP_270465810.1	2	methylenetetrahydrofolate reductase [NAD(P)H]
WP_270465809.1	2	homocysteine S-methyltransferase family protein
WP_391260759.1	2	IS5 family transposase
WP_102761927.1	2	tripartite tricarboxylate transporter TctB family protein
WP_102761928.1	2	tripartite tricarboxylate transporter substrate binding protein
WP_180980725.1	2	RraA family protein
WP_180980726.1	2	hydroxyacid dehydrogenase
WP_102762186.1	2	LysR family transcriptional regulator
WP_222013830.1	2	hypothetical protein
WP_222013831.1	2	reverse transcriptase family protein
WP_222013832.1	2	poly-gamma-glutamate hydrolase family protein
WP_222013833.1	2	hypothetical protein
WP_222013834.1	2	hypothetical protein
WP_222013835.1	2	hypothetical protein
WP_372383769.1	2	hypothetical protein
WP_372383770.1	2	hypothetical protein
WP_372383771.1	2	ABC-three component system protein
WP_372383772.1	2	ABC-three component system middle component 5
WP_372383773.1	2	hypothetical protein
WP_016768170.1	2	hypothetical protein
WP_372383776.1	2	hypothetical protein
WP_390358410.1	2	hypothetical protein
WP_390358412.1	2	endo alpha-1%2C4 polygalactosaminidase
WP_065905280.1	2	hypothetical protein
WP_065905282.1	2	hypothetical protein
WP_065905284.1	2	hypothetical protein
WP_065905286.1	2	hypothetical protein
WP_177343948.1	2	HAD hydrolase family protein
WP_065905290.1	2	hypothetical protein
WP_065905292.1	2	SDR family NAD(P)-dependent oxidoreductase
WP_065905294.1	2	helix-turn-helix domain-containing protein
WP_017085640.1	2	hypothetical protein
WP_108214041.1	2	alpha/beta fold hydrolase
WP_108214042.1	2	hypothetical protein
WP_108214043.1	2	phenylalanine--tRNA ligase subunit beta
WP_102537040.1	2	GGDEF domain-containing protein
WP_338417978.1	2	MFS transporter
WP_133152782.1	2	hypothetical protein
WP_102494819.1	2	hypothetical protein
WP_102494820.1	2	alpha/beta fold hydrolase
WP_102494823.1	2	hypothetical protein
WP_102494825.1	2	phenylalanine--tRNA ligase subunit beta
WP_423173622.1	2	GGDEF domain-containing protein
WP_406746823.1	2	hypothetical protein
WP_214599070.1	2	metallophosphoesterase family protein
WP_004930258.1	2	sigma factor-binding protein Crl
WP_033637217.1	2	glutamate 5-kinase
WP_015376739.1	2	glutamate-5-semialdehyde dehydrogenase
WP_023302256.1	2	glutamate-5-semialdehyde dehydrogenase
WP_308063285.1	2	reverse transcriptase family protein
WP_193149616.1	2	arsenite efflux transporter metallochaperone ArsD
WP_090643665.1	2	DUF4145 domain-containing protein
WP_245678898.1	2	Atxe2 family lasso peptide isopeptidase
WP_090643670.1	2	TonB-dependent receptor
WP_090643673.1	2	FecR family protein
WP_090643675.1	2	sigma-70 family RNA polymerase sigma factor
WP_139159600.1	2	phosphoribosyltransferase-like protein
WP_090643678.1	2	hypothetical protein
WP_090643680.1	2	hypothetical protein
WP_090643683.1	2	methyltransferase
WP_090643686.1	2	error-prone DNA polymerase
WP_245678829.1	2	Y-family DNA polymerase
WP_057724484.1	2	hypothetical protein
WP_057724483.1	2	hypothetical protein
WP_057724482.1	2	hypothetical protein
WP_057724481.1	2	ATP-dependent nuclease
WP_057724480.1	2	UvrD-helicase domain-containing protein
WP_057724479.1	2	phosphoribosyltransferase-like protein
WP_057724478.1	2	reverse transcriptase family protein
WP_057724477.1	2	hypothetical protein
WP_338110588.1	2	helix-turn-helix transcriptional regulator
WP_057724516.1	2	hypothetical protein
WP_100028393.1	2	putative manganese-dependent inorganic diphosphatase
WP_100028392.1	2	retron St85 family RNA-directed DNA polymerase
WP_323243656.1	2	hypothetical protein
WP_243584627.1	2	hypothetical protein
WP_111326428.1	2	hypothetical protein
WP_111326430.1	2	reverse transcriptase family protein
WP_111326432.1	2	hypothetical protein
WP_143945884.1	2	hypothetical protein
WP_219154288.1	2	phospholipase D-like domain-containing protein
WP_219154290.1	2	integrase domain-containing protein
WP_059699228.1	2	DUF1488 domain-containing protein
WP_228395682.1	2	Swt1 family HEPN domain-containing protein
WP_115982352.1	2	hypothetical protein
WP_115982353.1	2	hypothetical protein
WP_115982354.1	2	ABC-three component system protein
WP_089856750.1	2	three component ABC system middle component
WP_115982355.1	2	DUF3732 domain-containing protein
WP_115982356.1	2	hypothetical protein
WP_115982357.1	2	reverse transcriptase domain-containing protein
WP_115982358.1	2	DUF3871 family protein
WP_115982359.1	2	AAA family ATPase
WP_115982360.1	2	DEAD/DEAH box helicase
WP_115982361.1	2	site-specific integrase
WP_342116364.1	2	phosphoribosyltransferase-like protein
WP_016852068.1	2	hypothetical protein
WP_260936899.1	2	hypothetical protein
WP_260936901.1	2	hypothetical protein
WP_260936902.1	2	N-6 DNA methylase
WP_260936907.1	2	TniB family NTP-binding protein
WP_006451539.1	2	acetyl-CoA carboxylase biotin carboxyl carrier protein
WP_104592407.1	2	type II 3-dehydroquinate dehydratase
WP_146094061.1	2	hypothetical protein
WP_146094060.1	2	hypothetical protein
WP_146094059.1	2	phosphoribosyltransferase-like protein
WP_104592404.1	2	hypothetical protein
WP_146094058.1	2	hypothetical protein
WP_104592402.1	2	hypothetical protein
WP_200577282.1	2	hypothetical protein
WP_200577284.1	2	hypothetical protein
WP_200577286.1	2	hypothetical protein
WP_200577288.1	2	hypothetical protein
WP_200577290.1	2	PfkB family carbohydrate kinase
WP_164476013.1	2	hypothetical protein
WP_321813190.1	2	LA2681 family HEPN domain-containing protein
WP_321813191.1	2	Qat anti-phage system TatD family nuclease QatD
WP_321813192.1	2	Qat anti-phage system QueC-like protein QatC
WP_321813193.1	2	Qat anti-phage system associated protein QatB
WP_321813194.1	2	P-loop NTPase fold protein
WP_321813195.1	2	hypothetical protein
WP_321813196.1	2	HNH endonuclease signature motif containing protein
WP_321813197.1	2	hypothetical protein
WP_321813198.1	2	PadR family transcriptional regulator
WP_321813199.1	2	siderophore-interacting protein
WP_321813200.1	2	MFS transporter
WP_201565791.1	2	hypothetical protein
WP_201565785.1	2	alpha/beta fold hydrolase
WP_143045105.1	2	diadenylate cyclase
WP_143045106.1	2	hypothetical protein
WP_074845380.1	2	reverse transcriptase family protein
WP_074845383.1	2	hypothetical protein
WP_159440239.1	2	hypothetical protein
WP_074845386.1	2	MobH family relaxase
WP_074845805.1	2	hypothetical protein
WP_074845390.1	2	ArdC family protein
WP_222180891.1	2	hypothetical protein
WP_179728830.1	2	phosphoribosyltransferase-like protein
WP_179728831.1	2	helix-turn-helix domain-containing protein
WP_179728832.1	2	hypothetical protein
WP_179728833.1	2	hypothetical protein
WP_179728835.1	2	hypothetical protein
WP_131832297.1	2	hypothetical protein
WP_035300964.1	2	helix-turn-helix transcriptional regulator
WP_199993684.1	2	hypothetical protein
WP_246724574.1	2	Hachiman antiphage defense system protein HamA
WP_131713890.1	2	RES domain-containing protein
WP_322639178.1	2	aminodeoxychorismate synthase component I
WP_322639180.1	2	DEAD/DEAH box helicase
WP_322639181.1	2	hypothetical protein
WP_322639182.1	2	hypothetical protein
WP_322639183.1	2	hypothetical protein
WP_322639184.1	2	hypothetical protein
WP_322639185.1	2	hypothetical protein
WP_390351130.1	2	hypothetical protein
WP_212571199.1	2	reverse transcriptase family protein
WP_041745331.1	2	hypothetical protein
WP_051156737.1	2	NADAR family protein
WP_041745333.1	2	PfkB family carbohydrate kinase
WP_148281790.1	2	hypothetical protein
WP_015002772.1	2	hypothetical protein
WP_167330870.1	2	HAD hydrolase family protein
WP_148281791.1	2	hypothetical protein
WP_041745337.1	2	AlpA family transcriptional regulator
WP_015002775.1	2	DUF4400 domain-containing protein
WP_089047959.1	2	DUF5916 domain-containing protein
WP_089047958.1	2	murein L%2CD-transpeptidase catalytic domain family protein
WP_089047957.1	2	L%2CD-transpeptidase family protein
WP_089047956.1	2	GNAT family N-acetyltransferase
WP_089047955.1	2	hypothetical protein
WP_089047954.1	2	hypothetical protein
WP_089047953.1	2	reverse transcriptase family protein
WP_089048142.1	2	dipeptidase PepE
WP_089047952.1	2	carboxypeptidase-like regulatory domain-containing protein
WP_089048141.1	2	carboxypeptidase-like regulatory domain-containing protein
WP_089047951.1	2	hypothetical protein
WP_138578933.1	2	hypothetical protein
WP_138578935.1	2	hypothetical protein
WP_138578937.1	2	hypothetical protein
WP_138578939.1	2	reverse transcriptase family protein
WP_138578941.1	2	hypothetical protein
WP_138578943.1	2	DEAD/DEAH box helicase family protein
WP_138578945.1	2	class I SAM-dependent methyltransferase
WP_138578947.1	2	transporter substrate-binding domain-containing protein
WP_138578949.1	2	transporter substrate-binding domain-containing protein
WP_138578951.1	2	transporter substrate-binding domain-containing protein
WP_257316686.1	2	helix-turn-helix domain-containing protein
WP_257316687.1	2	hypothetical protein
WP_257316688.1	2	helix-turn-helix transcriptional regulator
WP_257316689.1	2	FAD-dependent thymidylate synthase
WP_257316691.1	2	hypothetical protein
WP_257316692.1	2	hypothetical protein
WP_257316693.1	2	hypothetical protein
WP_257316694.1	2	hypothetical protein
WP_257316695.1	2	type II toxin-antitoxin system HipA family toxin
WP_257316701.1	2	helix-turn-helix transcriptional regulator
WP_257316696.1	2	putative phage abortive infection protein
WP_163361739.1	2	hypothetical protein
WP_163361743.1	2	M48 family metallopeptidase
WP_286774726.1	2	IS21 family transposase
WP_286774725.1	2	IS21-like element helper ATPase IstB
WP_286774724.1	2	hypothetical protein
WP_181619794.1	2	IS3 family transposase
WP_227532059.1	2	FRG domain-containing protein
WP_227532061.1	2	adenine-specific methyltransferase EcoRI family protein
WP_227532064.1	2	retron St85 family RNA-directed DNA polymerase
WP_227532065.1	2	ABC transporter ATP-binding protein
WP_096792051.1	2	VOC family protein
WP_058611904.1	2	DinB family protein
WP_167811941.1	2	hypothetical protein
WP_144373898.1	2	helix-turn-helix domain-containing protein
WP_253212244.1	2	cytoplasmic protein
WP_253211316.1	2	cytoplasmic protein
WP_180073519.1	2	sugar transferase
WP_168379467.1	2	UDP-glucose 4-epimerase GalE
WP_180073520.1	2	hypothetical protein
WP_180073521.1	2	helix-turn-helix domain-containing protein
WP_180073522.1	2	dUTP diphosphatase
WP_180073523.1	2	hypothetical protein
WP_180073524.1	2	hypothetical protein
WP_180073525.1	2	hypothetical protein
WP_180073526.1	2	N-6 DNA methylase
WP_180073527.1	2	Tn7-like element transposition protein TnsE
WP_180073528.1	2	TnsD family Tn7-like transposition protein
WP_272658580.1	2	N-6 DNA methylase
WP_272658581.1	2	restriction endonuclease subunit S
WP_272658582.1	2	hypothetical protein
WP_272658583.1	2	tyrosine-type recombinase/integrase
WP_287406945.1	2	PAS domain-containing protein
WP_287406947.1	2	PIN domain-containing protein
WP_287406948.1	2	hypothetical protein
WP_287406953.1	2	PfkB family carbohydrate kinase
WP_337961613.1	2	diacylglycerol/lipid kinase family protein
WP_273990708.1	2	hypothetical protein
WP_273990709.1	2	N-6 DNA methylase
WP_273990711.1	2	hypothetical protein
WP_273990714.1	2	adenosylcobalamin-dependent ribonucleoside-diphosphate reductase
WP_273990718.1	2	class I SAM-dependent DNA methyltransferase
WP_080218261.1	2	hypothetical protein
WP_080218260.1	2	transcriptional regulator
WP_080218259.1	2	P-loop NTPase fold protein
WP_080218258.1	2	reverse transcriptase family protein
WP_080218257.1	2	hypothetical protein
WP_080218256.1	2	hypothetical protein
WP_080218255.1	2	transcriptional regulator
WP_080218254.1	2	hypothetical protein
WP_249264092.1	2	TraX family protein
WP_080218252.1	2	plasmid replication initiator RepA
WP_239690206.1	2	hypothetical protein
WP_074810116.1	2	competence protein CoiA family protein
WP_133637993.1	2	hypothetical protein
WP_074810120.1	2	PIN domain-containing protein
WP_080484460.1	2	reverse transcriptase family protein
WP_074810121.1	2	hypothetical protein
WP_074810122.1	2	hypothetical protein
WP_239690199.1	2	hypothetical protein
WP_074810124.1	2	hypothetical protein
WP_074810128.1	2	endolytic transglycosylase MltG
WP_108454222.1	2	response regulator receiver domain
WP_108454223.1	2	ATP-binding protein
WP_108454224.1	2	hypothetical protein
WP_023240645.1	2	hypothetical protein
WP_108454225.1	2	hypothetical protein
WP_108454227.1	2	hypothetical protein
WP_000050754.1	2	hypothetical protein
WP_023946673.1	2	hypothetical protein
WP_261050976.1	2	hypothetical protein
WP_261074597.1	2	TIM-barrel domain-containing protein
WP_261074598.1	2	peptide MFS transporter
WP_343625834.1	2	TIGR02594 family protein
WP_343625835.1	2	hypothetical protein
WP_088484595.1	2	DUF1521 domain-containing protein
WP_343625838.1	2	phosphoribosyltransferase-like protein
WP_343625840.1	2	phosphoribosylanthranilate isomerase
WP_343625842.1	2	phosphoribosyltransferase-like protein
WP_343625843.1	2	putative photosynthetic complex assembly protein PuhE
WP_343625845.1	2	magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
WP_343625847.1	2	photosynthetic complex assembly protein PuhC
WP_344761012.1	2	hypothetical protein
WP_167787016.1	2	hypothetical protein
WP_003400412.1	2	glycerophosphoryl diester phosphodiesterase
WP_103360319.1	2	endo-1%2C4-beta-xylanase
WP_146047704.1	2	hypothetical protein
WP_116886799.1	2	ABC transporter permease subunit
WP_116886798.1	2	sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC
WP_116886797.1	2	endo-1%2C4-beta-xylanase
WP_283318502.1	2	exodeoxyribonuclease VIII
WP_283294698.1	2	exodeoxyribonuclease VIII
WP_322993023.1	2	FRG domain-containing protein
WP_322993022.1	2	ATP-binding protein
WP_322993021.1	2	hypothetical protein
WP_322993020.1	2	NADAR family protein
WP_322993019.1	2	HAD-IIB family hydrolase
WP_322993018.1	2	hypothetical protein
WP_322993017.1	2	hypothetical protein
WP_322993016.1	2	hypothetical protein
WP_322993015.1	2	toll/interleukin-1 receptor domain-containing protein
WP_322993014.1	2	Fic family protein
WP_322993013.1	2	type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein
WP_066114184.1	2	hypothetical protein
WP_054109467.1	2	NADAR family protein
WP_054109468.1	2	PfkB family carbohydrate kinase
WP_054109470.1	2	hypothetical protein
WP_054109471.1	2	hypothetical protein
WP_054109473.1	2	RES family NAD+ phosphorylase
WP_197274702.1	2	antitoxin Xre-like helix-turn-helix domain-containing protein
WP_006966713.1	2	DUF736 family protein
WP_054109476.1	2	type II TA system antitoxin MqsA family protein
WP_220771583.1	2	hypothetical protein
WP_049082522.1	2	YafY family protein
WP_220771584.1	2	GTPase family protein
WP_220771585.1	2	hypothetical protein
WP_220771586.1	2	hypothetical protein
WP_220771587.1	2	inovirus-type Gp2 protein
WP_220771602.1	2	AlpA family transcriptional regulator
WP_220771588.1	2	YbaK/EbsC family protein
WP_122285216.1	2	hypothetical protein
WP_122285217.1	2	hypothetical protein
WP_221035662.1	2	reverse transcriptase family protein
WP_122285218.1	2	hypothetical protein
WP_147472374.1	2	hypothetical protein
WP_122285220.1	2	hypothetical protein
WP_122285221.1	2	IS630 family transposase
WP_010205374.1	2	hypothetical protein
WP_183142695.1	2	fatty acid desaturase
WP_122285222.1	2	inositol monophosphatase family protein
WP_121373431.1	2	DUF4917 family protein
WP_121373433.1	2	BPSL0761 family protein
WP_296416118.1	2	hypothetical protein
WP_058697685.1	2	hypothetical protein
WP_211599732.1	2	DUF4252 domain-containing protein
WP_021663581.1	2	hypothetical protein
WP_249134644.1	2	RNA polymerase sigma factor
WP_211599733.1	2	hypothetical protein
WP_211599734.1	2	hypothetical protein
WP_005875419.1	2	hypothetical protein
WP_256824555.1	2	HAD hydrolase family protein
WP_077491247.1	2	hypothetical protein
WP_023847574.1	2	hypothetical protein
WP_021679508.1	2	RNA polymerase sigma factor
WP_023847576.1	2	hypothetical protein
WP_021679507.1	2	DUF4252 domain-containing protein
WP_216113904.1	2	hypothetical protein
WP_216177567.1	2	hypothetical protein
WP_253197676.1	2	hypothetical protein
WP_354087051.1	2	DDE-type integrase/transposase/recombinase
WP_046133450.1	2	peroxiredoxin
WP_046133449.1	2	hypothetical protein
WP_046133448.1	2	peptide-methionine (S)-S-oxide reductase MsrA
WP_046133447.1	2	hypothetical protein
WP_046133446.1	2	phosphoribosyltransferase-like protein
