Most Frequent Protein ID	Frequency	Description
WP_105088893.1	7	DUF1737 domain-containing protein
WP_370751183.1	7	DeoR family transcriptional regulator
WP_072938649.1	7	DUF4339 domain-containing protein
WP_144772210.1	7	DUF5388 domain-containing protein
WP_105567795.1	7	pantoate--beta-alanine ligase
Unknown	7	DNA-processing protein DprA
WP_080022184.1	7	SHOCT domain-containing protein
WP_166137732.1	7	DUF4141 domain-containing protein
WP_131910817.1	7	TraG family conjugative transposon ATPase
WP_195521422.1	7	Coenzyme F420 hydrogenase/dehydrogenase%2C beta subunit C-terminal domain
WP_270306459.1	7	phage tail tip lysozyme
WP_243023216.1	7	DUF6100 family protein
WP_277156273.1	7	phosphoglucosamine mutase
WP_155603739.1	7	MotA/TolQ/ExbB proton channel family protein
WP_080865961.1	7	plasmid partitioning protein RepB C-terminal domain-containing protein
Unknown	7	type VI secretion system tube protein Hcp
WP_109394631.1	7	oxygenase MpaB family protein
WP_038448423.1	7	MipA/OmpV family protein
WP_005612351.1	7	preQ(1) synthase
WP_005612353.1	7	putative ABC transporter permease subunit
WP_150015932.1	7	fimbrial biogenesis usher protein
WP_117441960.1	7	LCP family protein
WP_040559960.1	7	saccharopine dehydrogenase family protein
WP_054412958.1	7	colicin V immunity protein
WP_023313578.1	7	heme/hemin ABC transporter substrate-binding protein
Unknown	7	bacteriophage abortive infection AbiH family protein
WP_228107366.1	7	VanZ family protein
WP_089986206.1	7	deoxyribose-phosphate aldolase
WP_309922669.1	7	PQQ-binding-like beta-propeller repeat protein
WP_111504610.1	7	Type 1 glutamine amidotransferase-like domain-containing protein
WP_071787626.1	7	C4-dicarboxylic acid transporter DauA
WP_111608092.1	7	xanthine phosphoribosyltransferase
WP_005423425.1	7	PD-(D/E)XK nuclease domain-containing protein
WP_225844226.1	7	DUF5710 domain-containing protein
WP_068970497.1	7	acetaldehyde dehydrogenase (acetylating)
Unknown	7	plasmid maintenance protein CcdB
WP_352460385.1	7	mersacidin/lichenicidin family type 2 lantibiotic
WP_111504598.1	7	NERD domain-containing protein
WP_188044558.1	7	Ppx/GppA phosphatase family protein
WP_004314655.1	7	BREX system Lon protease-like protein BrxL
WP_008470933.1	7	glucose-1-phosphate thymidylyltransferase RfbA
WP_095175927.1	7	YihY/virulence factor BrkB family protein
WP_233104644.1	7	CpsD/CapB family tyrosine-protein kinase
WP_307190557.1	7	(deoxy)nucleoside triphosphate pyrophosphohydrolase
WP_110077859.1	7	DUF1848 domain-containing protein
WP_278868925.1	7	deoxyguanosinetriphosphate triphosphohydrolase
WP_095175904.1	7	phenylalanine--tRNA ligase subunit beta
WP_131910617.1	7	conjugal transfer protein MobB
WP_308957097.1	7	BapA/Bap/LapF family large adhesin
WP_013452394.1	7	DUF4062 domain-containing protein
WP_144658605.1	7	ANTAR domain-containing response regulator
Unknown	7	primase-like DNA-binding domain-containing protein
WP_229117833.1	7	type I restriction enzyme subunit R domain-containing protein
WP_191554878.1	7	gamma-glutamylcyclotransferase family protein
WP_237187620.1	7	imidazole glycerol phosphate synthase subunit HisF
WP_048971298.1	7	YoaK family protein
WP_002392747.1	7	TcpE family conjugal transfer membrane protein
WP_165133266.1	7	DUF501 domain-containing protein
WP_117981178.1	7	conjugative transposon protein TraN
WP_116442898.1	7	IS3-like element ISEc52 family transposase
WP_048726108.1	7	TIGR04540 family protein
WP_319016950.1	7	DUF6718 family protein
WP_173726277.1	7	TIGR02452 family protein
WP_181828657.1	7	Stf0 family sulfotransferase
WP_264313357.1	7	RNaseH domain-containing protein
WP_018579538.1	7	lantibiotic immunity ABC transporter MutE/EpiE family permease subunit
WP_018579539.1	7	lantibiotic protection ABC transporter ATP-binding protein
WP_001302302.1	7	DgsA anti-repressor MtfA
WP_005897550.1	7	sulfur carrier protein ThiS
WP_071579725.1	7	IS66-like element ISKox1 family transposase
WP_004608003.1	7	IS66-like element ISCsc1 family transposase
WP_015729936.1	7	hypothetical protein
WP_029187686.1	7	hypothetical protein
WP_253180041.1	7	hypothetical protein
WP_043560787.1	7	hypothetical protein
WP_075202947.1	7	hypothetical protein
WP_277011511.1	7	hypothetical protein
WP_072158608.1	7	hypothetical protein
WP_241762112.1	7	hypothetical protein
WP_143297694.1	7	hypothetical protein
WP_049275670.1	7	hypothetical protein
WP_000465036.1	7	hypothetical protein
WP_052658304.1	7	hypothetical protein
WP_023102107.1	7	hypothetical protein
WP_045144139.1	7	hypothetical protein
WP_156737206.1	7	hypothetical protein
WP_223246853.1	7	hypothetical protein
WP_195521774.1	7	hypothetical protein
WP_227554590.1	7	hypothetical protein
WP_336667765.1	7	hypothetical protein
WP_336667764.1	7	hypothetical protein
WP_336667763.1	7	hypothetical protein
WP_336667761.1	7	hypothetical protein
WP_336667759.1	7	hypothetical protein
WP_039275711.1	7	hypothetical protein
WP_231390589.1	7	hypothetical protein
WP_215439912.1	7	hypothetical protein
WP_023317792.1	7	hypothetical protein
WP_021141118.1	7	hypothetical protein
WP_191902002.1	7	hypothetical protein
WP_161710474.1	7	hypothetical protein
WP_021312478.1	7	hypothetical protein
WP_000016389.1	7	hypothetical protein
WP_250237507.1	7	hypothetical protein
WP_250237509.1	7	hypothetical protein
WP_250237510.1	7	hypothetical protein
WP_311169144.1	7	hypothetical protein
WP_057099051.1	7	hypothetical protein
WP_248120312.1	7	hypothetical protein
WP_003667061.1	7	hypothetical protein
WP_341775342.1	7	hypothetical protein
WP_261154299.1	7	hypothetical protein
WP_261154296.1	7	hypothetical protein
WP_050439928.1	7	hypothetical protein
WP_242461829.1	7	hypothetical protein
WP_352460381.1	7	hypothetical protein
WP_310573698.1	7	hypothetical protein
WP_310573701.1	7	hypothetical protein
WP_019486373.1	7	hypothetical protein
WP_143779242.1	7	hypothetical protein
WP_054091179.1	7	hypothetical protein
WP_230957552.1	7	hypothetical protein
WP_054896452.1	7	hypothetical protein
WP_008151802.1	7	hypothetical protein
WP_225392418.1	7	hypothetical protein
WP_243044314.1	7	hypothetical protein
WP_023329039.1	7	hypothetical protein
WP_124074497.1	7	hypothetical protein
WP_199958027.1	7	hypothetical protein
WP_195962651.1	7	hypothetical protein
WP_195962652.1	7	hypothetical protein
WP_238710064.1	7	hypothetical protein
WP_114258154.1	7	hypothetical protein
WP_024410832.1	7	hypothetical protein
WP_024410830.1	7	hypothetical protein
WP_024410829.1	7	hypothetical protein
WP_111778799.1	7	hypothetical protein
WP_000493380.1	7	hypothetical protein
WP_368129635.1	7	hypothetical protein
WP_368129634.1	7	hypothetical protein
WP_278944190.1	7	hypothetical protein
WP_291588103.1	7	hypothetical protein
WP_123828799.1	7	hypothetical protein
WP_075849146.1	7	hypothetical protein
WP_162847634.1	7	hypothetical protein
WP_016162066.1	7	hypothetical protein
WP_112872090.1	7	hypothetical protein
WP_138298306.1	7	hypothetical protein
WP_271707218.1	7	hypothetical protein
WP_016263489.1	7	hypothetical protein
WP_023111148.1	7	hypothetical protein
WP_021205595.1	7	hypothetical protein
WP_243872795.1	7	hypothetical protein
WP_225595090.1	7	hypothetical protein
WP_104842505.1	7	hypothetical protein
WP_016615346.1	7	hypothetical protein
WP_105208611.1	7	hypothetical protein
WP_060813048.1	7	hypothetical protein
WP_368241395.1	7	hypothetical protein
WP_368241397.1	7	hypothetical protein
WP_368241401.1	7	hypothetical protein
WP_002309428.1	7	hypothetical protein
WP_250011364.1	7	hypothetical protein
WP_115465647.1	7	hypothetical protein
WP_073558206.1	7	hypothetical protein
WP_046374784.1	6	LuxR family transcriptional regulator
WP_154221501.1	6	Holliday junction branch migration DNA helicase RuvB
WP_153404526.1	6	hybrid sensor histidine kinase/response regulator
WP_224382918.1	6	DUF3427 domain-containing protein
WP_251165920.1	6	DUF6119 family protein
WP_071540861.1	6	transglycosylase SLT domain-containing protein
WP_285052601.1	6	TIGR03759 family integrating conjugative element protein
WP_336849313.1	6	DUF2786 domain-containing protein
WP_023669280.1	6	DNA gyrase inhibitor YacG
WP_103765372.1	6	phosphoribosylamine--glycine ligase
WP_159522958.1	6	TIM-barrel domain-containing protein
WP_159522966.1	6	molybdopterin-synthase adenylyltransferase MoeB
WP_402521820.1	6	DUF4124 domain-containing protein
WP_391592373.1	6	alcohol dehydrogenase catalytic domain-containing protein
WP_349106347.1	6	ParM/StbA family protein
WP_352931167.1	6	hydantoinase/oxoprolinase family protein
WP_242074749.1	6	dephospho-CoA kinase
WP_254006370.1	6	Cna B-type domain-containing protein
WP_210454450.1	6	DUF2726 domain-containing protein
WP_048233535.1	6	phage major capsid protein
WP_288865882.1	6	zincin-like metallopeptidase domain-containing protein
WP_198222608.1	6	beta-glucoside-specific PTS transporter subunit IIABC
Unknown	6	mechanosensitive ion channel family protein
WP_378871674.1	6	amidase
WP_254506343.1	6	His/Gly/Thr/Pro-type tRNA ligase C-terminal domain-containing protein
WP_034665085.1	6	DUF6508 domain-containing protein
WP_055227055.1	6	L-2-amino-thiazoline-4-carboxylic acid hydrolase
WP_138212394.1	6	DUF2790 domain-containing protein
WP_345331482.1	6	RNA-binding protein
WP_003117866.1	6	phosphate/phosphite/phosphonate ABC transporter substrate-binding protein
WP_233284487.1	6	HlyD family type I secretion periplasmic adaptor subunit
WP_195583176.1	6	DUF4099 domain-containing protein
WP_007927847.1	6	50S ribosomal protein L32
WP_072624111.1	6	acylphosphatase
WP_163340049.1	6	Shedu immune nuclease family protein
WP_271904694.1	6	Nif3-like dinuclear metal center hexameric protein
WP_031377973.1	6	ParB/RepB/Spo0J family plasmid partition protein
WP_409526853.1	6	beta-galactosidase
WP_044005413.1	6	D-alanyl-D-alanine carboxypeptidase family protein
WP_391592372.1	6	zinc-binding dehydrogenase
WP_075316529.1	6	DUF3526 domain-containing protein
WP_158028993.1	6	(d)CMP kinase
WP_030334874.1	6	pseudouridine synthase
WP_324091249.1	6	DinB family protein
WP_220035331.1	6	RecQ family ATP-dependent DNA helicase
Unknown	6	resolvase
WP_117981186.1	6	PcfK-like family protein
WP_171029033.1	6	type II toxin-antitoxin system antitoxin SocA domain-containing protein
Unknown	6	SMP-30/gluconolactonase/LRE family protein
Unknown	6	protein mom
WP_117661216.1	6	protein tyrosine phosphatase
WP_208373676.1	6	YigZ family protein
Unknown	6	IS1-like element transposase
WP_063942771.1	6	type II toxin-antitoxin system HigB family toxin
WP_084036435.1	6	L-fucose:H+ symporter permease
WP_214588578.1	6	DUF3871 family protein
WP_238146736.1	6	macro domain-containing protein
WP_000899746.1	6	YdaU family protein
WP_000450674.1	6	DUF1627 domain-containing protein
WP_200254003.1	6	metal-dependent transcriptional regulator
WP_277552082.1	6	ThiF family adenylyltransferase
WP_125445587.1	6	glycine--tRNA ligase subunit beta
WP_002893545.1	6	glycine--tRNA ligase subunit alpha
WP_140023149.1	6	plasmid partitioning protein RepA
WP_081683088.1	6	peptidoglycan DD-metalloendopeptidase family protein
WP_023045234.1	6	5-bromo-4-chloroindolyl phosphate hydrolysis family protein
WP_063602537.1	6	peptidoglycan recognition protein family protein
WP_072793029.1	6	rhomboid family intramembrane serine protease
WP_021818147.1	6	thiamine pyrophosphate-dependent enzyme
WP_257010029.1	6	DUF1173 domain-containing protein
XP_038855686.1	6	uncharacterized protein LOC120052695
WP_181640124.1	6	3'-5' exoribonuclease
WP_267173038.1	6	AbgT family transporter
Unknown	6	ATP-dependent DNA ligase
WP_256670879.1	6	cupredoxin family protein
WP_012037799.1	6	aldo/keto reductase family protein
WP_084971663.1	6	transcription elongation factor GreA
WP_084684278.1	6	GntP family permease
WP_026457339.1	6	DUF1107 domain-containing protein
WP_117822182.1	6	C-GCAxxG-C-C family protein
WP_131910819.1	6	conjugative transposon protein TraJ
WP_195521424.1	6	UDP-glucose dehydrogenase
WP_004261473.1	6	entericidin A/B family lipoprotein
WP_010274915.1	6	ribose-phosphate diphosphokinase
WP_014951222.1	6	DUF5655 domain-containing protein
WP_223611010.1	6	A24 family peptidase
WP_063337602.1	6	type I-F CRISPR-associated protein Csy1
WP_277156280.1	6	phosphatase PAP2 family protein
WP_002355868.1	6	50S ribosomal protein L27
WP_002355866.1	6	50S ribosomal protein L21
WP_274544315.1	6	adenine-specific methyltransferase EcoRI family protein
WP_010651724.1	6	chaperonin GroEL
WP_113917952.1	6	histidine ammonia-lyase
WP_057964070.1	6	RsiV family protein
WP_229278191.1	6	DUF4352 domain-containing protein
XP_067298576.1	6	pneumococcal serine-rich repeat protein-like
WP_105088890.1	6	ATP-grasp domain-containing protein
WP_048912737.1	6	TraR/DksA family transcriptional regulator
WP_296837153.1	6	2-hydroxyacyl-CoA dehydratase
WP_296837157.1	6	tRNA guanosine(34) transglycosylase Tgt
WP_326835075.1	6	amidase family protein
WP_257530488.1	6	YraN family protein
Unknown	6	magnesium chelatase domain-containing protein
WP_127370257.1	6	histidine--tRNA ligase
WP_037991546.1	6	bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD
WP_260831794.1	6	Fic/DOC family protein
WP_016454741.1	6	sel1 repeat family protein
WP_277693228.1	6	trehalase family glycosidase
WP_349514981.1	6	pLS20_p028 family conjugation system transmembrane protein
WP_004202988.1	6	3-hydroxybutyrate dehydrogenase
WP_003133129.1	6	30S ribosomal protein S6
WP_006283325.1	6	DUF2357 domain-containing protein
WP_065422857.1	6	DUF960 family protein
WP_140023151.1	6	plasmid partitioning protein RepB
WP_373426961.1	6	DUF3263 domain-containing protein
WP_032718161.1	6	IclR family transcriptional regulator
WP_068970495.1	6	enoyl-CoA hydratase-related protein
WP_001222186.1	6	siderophore salmochelin receptor IroN
WP_000271276.1	6	catecholate siderophore esterase IroE
WP_111132873.1	6	peptide-methionine (S)-S-oxide reductase MsrA
WP_019485419.1	6	pesticin C-terminus-like muramidase
WP_006081877.1	6	beta-N-acetylhexosaminidase
XP_026056218.1	6	uncharacterized protein LOC113041868
WP_282411028.1	6	TrkH family potassium uptake protein
WP_352937329.1	6	DNA repair exonuclease
WP_400840540.1	6	TIGR02679 family protein
WP_400840542.1	6	TIGR02680 family protein
WP_400840544.1	6	TIGR02678 family protein
WP_400840546.1	6	TIGR02677 family protein
WP_016983047.1	6	mandelate racemase/muconate lactonizing enzyme family protein
WP_258867261.1	6	isocitrate/isopropylmalate family dehydrogenase
WP_117441967.1	6	YveK family protein
WP_095175903.1	6	phenylalanine--tRNA ligase subunit alpha
WP_104417494.1	6	urea ABC transporter permease subunit UrtC
WP_061407748.1	6	signal recognition particle protein
WP_004231629.1	6	putative DNA-binding protein
WP_032171475.1	6	glycosyltransferase family 9 protein
WP_301417794.1	6	lipoate--protein ligase family protein
WP_336194110.1	6	DUF3696 domain-containing protein
WP_013855665.1	6	substrate-binding periplasmic protein
WP_033522167.1	6	DnaJ C-terminal domain-containing protein
WP_294125289.1	6	cation-translocating P-type ATPase
WP_003132353.1	6	50S ribosomal protein L35
WP_003132354.1	6	translation initiation factor IF-3
WP_220431376.1	6	WecB/TagA/CpsF family glycosyltransferase
WP_237187631.1	6	TIGR03085 family metal-binding protein
WP_237187630.1	6	DUF2087 domain-containing protein
WP_023973994.1	6	gamma-glutamyl-gamma-aminobutyrate hydrolase family protein
XP_069984605.1	6	DNA-directed RNA polymerase subunit beta''-like
WP_078674580.1	6	sce7725 family protein
WP_047944806.1	6	DUF2187 family protein
WP_265217874.1	6	adenosylcobinamide-phosphate synthase CbiB
WP_409418699.1	6	cobyric acid synthase
WP_044693361.1	6	membrane protein
WP_024224214.1	6	HTH-like domain-containing protein
Unknown	6	lipopolysaccharide biosynthesis protein RfbH
WP_001339197.1	6	IS4-like element ISVsa5 family transposase
WP_166377254.1	6	FlgO family outer membrane protein
WP_117441968.1	6	antiterminator LoaP
WP_044711926.1	6	head-tail connector protein
XP_069178445.1	6	eukaryotic translation initiation factor 2-alpha kinase 2-like
WP_005897544.1	6	2-iminoacetate synthase ThiH
WP_005897546.1	6	thiazole synthase
WP_005897548.1	6	sulfur carrier protein ThiS adenylyltransferase ThiF
Unknown	6	SAM-dependent DNA methyltransferase
WP_261641057.1	6	DUF1281 domain-containing protein
WP_291096863.1	6	super-infection exclusion protein B
WP_215486953.1	6	hypothetical protein
WP_039503039.1	6	hypothetical protein
WP_228267451.1	6	hypothetical protein
WP_023753808.1	6	hypothetical protein
WP_103791297.1	6	hypothetical protein
WP_146046908.1	6	hypothetical protein
WP_224266235.1	6	hypothetical protein
WP_139531029.1	6	hypothetical protein
WP_044775722.1	6	hypothetical protein
WP_118211418.1	6	hypothetical protein
WP_010735626.1	6	hypothetical protein
WP_193402785.1	6	hypothetical protein
WP_021520969.1	6	hypothetical protein
WP_084015043.1	6	hypothetical protein
WP_015683439.1	6	hypothetical protein
WP_264974851.1	6	hypothetical protein
WP_264974850.1	6	hypothetical protein
